00-0000	All Occupations	135185230	42270
11-0000	Management occupations	6152650	100310
11-1011	Chief executives	301930	160440
11-1021	General and operations managers	1697690	107970
11-1031	Legislators	64650	37980
11-2011	Advertising and promotions managers	36100	94720
11-2021	Marketing managers	166790	118160
11-2022	Sales managers	333910	110390
11-2031	Public relations managers	51730	101220
11-3011	Administrative services managers	246930	79500
11-3021	Computer and information systems managers	276820	118710
11-3031	Financial managers	500590	110640
11-3041	Compensation and benefits managers	38810	93410
11-3042	Training and development managers	29350	93830
11-3049	Human resources managers, all other	60980	103920
11-3051	Industrial production managers	154030	91200
11-3061	Purchasing managers	67150	94300
11-3071	Transportation, storage, and distribution managers	96300	84520
11-9011	Farm, ranch, and other agricultural managers	3410	62400
11-9012	Farmers and ranchers	490	49140
11-9021	Construction managers	220550	89770
11-9031	Education administrators, preschool and child care center/program	49630	46370
11-9032	Education administrators, elementary and secondary school	219100	86060
11-9033	Education administrators, postsecondary	97410	92920
11-9039	Education administrators, all other	28090	77220
11-9041	Engineering managers	182300	120580
11-9051	Food service managers	196080	50320
11-9061	Funeral directors	25680	58810
11-9071	Gaming managers	3790	73480
11-9081	Lodging managers	32460	52550
11-9111	Medical and health services managers	258130	88750
11-9121	Natural sciences managers	43060	123140
11-9131	Postmasters and mail superintendents	26410	59150
11-9141	Property, real estate, and community association managers	159700	56250
11-9151	Social and community service managers	117150	60570
11-9199	Managers, all other	365460	95890
13-0000	Business and financial operations occupations	6135520	64720
13-1011	Agents and business managers of artists, performers, and athletes	12110	81550
13-1021	Purchasing agents and buyers, farm products	13010	58760
13-1022	Wholesale and retail buyers, except farm products	132420	55540
13-1023	Purchasing agents, except wholesale, retail, and farm products	286990	57630
13-1031	Claims adjusters, examiners, and investigators	277230	57550
13-1032	Insurance appraisers, auto damage	11280	53980
13-1041	Compliance officers, except agriculture, construction, health and safety, and transportation	242270	53760
13-1051	Cost estimators	218400	60320
13-1061	Emergency management specialists	12260	53460
13-1071	Employment, recruitment, and placement specialists	205800	53870
13-1072	Compensation, benefits, and job analysis specialists	116250	57060
13-1073	Training and development specialists	206890	54830
13-1079	Human resources, training, and labor relations specialists, all other	217440	58230
13-1081	Logisticians	98590	68600
13-1111	Management analysts	535850	82920
13-1121	Meeting and convention planners	47960	47500
13-1199	Business operations specialists, all other	1030320	64990
13-2011	Accountants and auditors	1133580	65840
13-2021	Appraisers and assessors of real estate	66260	53410
13-2031	Budget analysts	62630	68140
13-2041	Credit analysts	74400	64580
13-2051	Financial analysts	236720	84780
13-2052	Personal financial advisors	146690	92970
13-2053	Insurance underwriters	98690	62600
13-2061	Financial examiners	26020	78180
13-2071	Loan counselors	29430	41970
13-2072	Loan officers	321850	63540
13-2081	Tax examiners, collectors, and revenue agents	66030	53090
13-2082	Tax preparers	63030	35520
13-2099	Financial specialists, all other	145110	63880
15-0000	Computer and mathematical science occupations	3308260	74500
15-1011	Computer and information scientists, research	26610	100900
15-1021	Computer programmers	394230	73470
15-1031	Computer software engineers, applications	494160	87900
